Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
266),03/01/2023,18:15:00,,,,,5.965,,,,,,,
267),03/01/2023,18:30:00,,,,,6.319,,,,,,,
268),03/01/2023,18:45:00,,,,,6.68,,,,,,,
269),03/01/2023,19:00:00,,,,,7.041,,,,,,,
270),03/01/2023,19:15:00,,,,,7.367,,,,,,,
271),03/01/2023,19:30:00,,,,,7.68,,,,,,,
272),03/01/2023,19:45:00,,,,,7.961,,,,,,,
273),03/01/2023,20:00:00,,,,,8.195,,,,,,,
274),03/01/2023,20:15:00,,,,,8.406,,,,,,,
275),03/01/2023,20:30:00,,,,,8.574,,,,,,,
276),03/01/2023,20:45:00,,,,,8.693,,,,,,,
277),03/01/2023,21:00:00,,,,,8.752,,,,,,,
278),03/01/2023,21:15:00,,,,,8.737,,,,,,,
279),03/01/2023,21:30:00,,,,,8.681,,,,,,,
280),03/01/2023,21:45:00,,,,,8.573,,,,,,,
281),03/01/2023,22:00:00,,,,,8.423,,,,,,,
282),03/01/2023,22:15:00,,,,,8.237,,,,,,,
283),03/01/2023,22:30:00,,,,,8.026,,,,,,,
284),03/01/2023,22:45:00,,,,,7.779,,,,,,,
285),03/01/2023,23:00:00,,,,,7.478,,,,,,,
286),03/01/2023,23:15:00,,,,,7.154,,,,,,,
287),03/01/2023,23:30:00,,,,,6.838,,,,,,,
288),03/01/2023,23:45:00,,,,,6.51,,,,,,,
289),04/01/2023,00:00:00,,,,,6.182,,,,,,,
290),04/01/2023,00:15:00,,,,,5.871,,,,,,,
291),04/01/2023,00:30:00,,,,,5.539,,,,,,,
292),04/01/2023,00:45:00,,,,,5.209,,,,,,,
293),04/01/2023,01:00:00,,,,,4.884,,,,,,,
294),04/01/2023,01:15:00,,,,,4.587,,,,,,,
295),04/01/2023,01:30:00,,,,,4.286,,,,,,,
296),04/01/2023,01:45:00,,,,,4.002,,,,,,,
297),04/01/2023,02:00:00,,,,,3.747,,,,,,,
298),04/01/2023,02:15:00,,,,,3.562,,,,,,,
299),04/01/2023,02:30:00,,,,,3.399,,,,,,,
300),04/01/2023,02:45:00,,,,,3.251,,,,,,,
301),04/01/2023,03:00:00,,,,,3.118,,,,,,,
302),04/01/2023,03:15:00,,,,,3.049,,,,,,,
303),04/01/2023,03:30:00,,,,,3.031,,,,,,,
304),04/01/2023,03:45:00,,,,,3.047,,,,,,,
305),04/01/2023,04:00:00,,,,,3.099,,,,,,,
306),04/01/2023,04:15:00,,,,,3.196,,,,,,,
307),04/01/2023,04:30:00,,,,,3.325,,,,,,,
308),04/01/2023,04:45:00,,,,,3.469,,,,,,,
309),04/01/2023,05:00:00,,,,,3.645,,,,,,,
310),04/01/2023,05:15:00,,,,,3.865,,,,,,,
311),04/01/2023,05:30:00,,,,,4.145,,,,,,,
312),04/01/2023,05:45:00,,,,,4.453,,,,,,,
313),04/01/2023,06:00:00,,,,,4.813,,,,,,,
314),04/01/2023,06:15:00,,,,,5.193,,,,,,,
315),04/01/2023,06:30:00,,,,,5.583,,,,,,,
316),04/01/2023,06:45:00,,,,,5.98,,,,,,,
317),04/01/2023,07:00:00,,,,,6.371,,,,,,,
318),04/01/2023,07:15:00,,,,,6.784,,,,,,,
319),04/01/2023,07:30:00,,,,,7.16,,,,,,,
320),04/01/2023,07:45:00,,,,,7.477,,,,,,,
321),04/01/2023,08:00:00,,,,,7.761,,,,,,,
322),04/01/2023,08:15:00,,,,,8.035,,,,,,,
323),04/01/2023,08:30:00,,,,,8.262,,,,,,,
324),04/01/2023,08:45:00,,,,,8.435,,,,,,,
325),04/01/2023,09:00:00,,,,,8.58,,,,,,,
326),04/01/2023,09:15:00,,,,,8.673,,,,,,,
327),04/01/2023,09:30:00,,,,,8.716,,,,,,,
328),04/01/2023,09:45:00,,,,,8.705,,,,,,,
329),04/01/2023,10:00:00,,,,,8.665,,,,,,,
330),04/01/2023,10:15:00,,,,,8.56,,,,,,,
331),04/01/2023,10:30:00,,,,,8.387,,,,,,,
332),04/01/2023,10:45:00,,,,,8.217,,,,,,,
333),04/01/2023,11:00:00,,,,,7.982,,,,,,,
334),04/01/2023,11:15:00,,,,,7.721,,,,,,,
335),04/01/2023,11:30:00,,,,,7.42,,,,,,,
336),04/01/2023,11:45:00,,,,,7.119,,,,,,,
337),04/01/2023,12:00:00,,,,,6.821,,,,,,,
338),04/01/2023,12:15:00,,,,,6.496,,,,,,,
339),04/01/2023,12:30:00,,,,,6.16,,,,,,,
340),04/01/2023,12:45:00,,,,,5.814,,,,,,,
341),04/01/2023,13:00:00,,,,,5.457,,,,,,,
342),04/01/2023,13:15:00,,,,,5.118,,,,,,,
343),04/01/2023,13:30:00,,,,,4.783,,,,,,,
344),04/01/2023,13:45:00,,,,,4.507,,,,,,,
345),04/01/2023,14:00:00,,,,,4.222,,,,,,,
346),04/01/2023,14:15:00,,,,,3.931,,,,,,,
347),04/01/2023,14:30:00,,,,,3.684,,,,,,,
348),04/01/2023,14:45:00,,,,,3.476,,,,,,,
349),04/01/2023,15:00:00,,,,,3.262,,,,,,,
350),04/01/2023,15:15:00,,,,,3.089,,,,,,,
351),04/01/2023,15:30:00,,,,,2.966,,,,,,,
352),04/01/2023,15:45:00,,,,,2.846,,,,,,,
353),04/01/2023,16:00:00,,,,,2.805,,,,,,,
354),04/01/2023,16:15:00,,,,,2.79,,,,,,,
355),04/01/2023,16:30:00,,,,,2.812,,,,,,,
356),04/01/2023,16:45:00,,,,,2.883,,,,,,,
357),04/01/2023,17:00:00,,,,,2.972,,,,,,,
358),04/01/2023,17:15:00,,,,,3.108,,,,,,,
359),04/01/2023,17:30:00,,,,,3.294,,,,,,,
360),04/01/2023,17:45:00,,,,,3.52,,,,,,,
361),04/01/2023,18:00:00,,,,,3.804,,,,,,,
362),04/01/2023,18:15:00,,,,,4.147,,,,,,,
363),04/01/2023,18:30:00,,,,,4.527,,,,,,,
364),04/01/2023,18:45:00,,,,,4.914,,,,,,,
365),04/01/2023,19:00:00,,,,,5.328,,,,,,,
366),04/01/2023,19:15:00,,,,,5.746,,,,,,,
367),04/01/2023,19:30:00,,,,,6.156,,,,,,,
368),04/01/2023,19:45:00,,,,,6.559,,,,,,,
369),04/01/2023,20:00:00,,,,,6.972,,,,,,,
370),04/01/2023,20:15:00,,,,,7.314,,,,,,,
371),04/01/2023,20:30:00,,,,,7.638,,,,,,,
372),04/01/2023,20:45:00,,,,,7.928,,,,,,,
373),04/01/2023,21:00:00,,,,,8.202,,,,,,,
374),04/01/2023,21:15:00,,,,,8.41,,,,,,,
375),04/01/2023,21:30:00,,,,,8.552,,,,,,,
376),04/01/2023,21:45:00,,,,,8.636,,,,,,,
377),04/01/2023,22:00:00,,,,,8.665,,,,,,,
378),04/01/2023,22:15:00,,,,,8.627,,,,,,,
379),04/01/2023,22:30:00,,,,,8.54,,,,,,,
380),04/01/2023,22:45:00,,,,,8.386,,,,,,,
381),04/01/2023,23:00:00,,,,,8.175,,,,,,,
382),04/01/2023,23:15:00,,,,,7.922,,,,,,,
383),04/01/2023,23:30:00,,,,,7.638,,,,,,,
384),04/01/2023,23:45:00,,,,,7.323,,,,,,,
385),05/01/2023,00:00:00,,,,,6.973,,,,,,,
386),05/01/2023,00:15:00,,,,,6.617,,,,,,,
387),05/01/2023,00:30:00,,,,,6.253,,,,,,,
388),05/01/2023,00:45:00,,,,,5.896,,,,,,,
389),05/01/2023,01:00:00,,,,,5.547,,,,,,,
390),05/01/2023,01:15:00,,,,,5.198,,,,,,,
391),05/01/2023,01:30:00,,,,,4.863,,,,,,,
392),05/01/2023,01:45:00,,,,,4.532,,,,,,,
393),05/01/2023,02:00:00,,,,,4.211,,,,,,,
394),05/01/2023,02:15:00,,,,,3.927,,,,,,,
395),05/01/2023,02:30:00,,,,,3.624,,,,,,,
396),05/01/2023,02:45:00,,,,,3.376,,,,,,,
397),05/01/2023,03:00:00,,,,,3.141,,,,,,,
398),05/01/2023,03:15:00,,,,,2.929,,,,,,,
399),05/01/2023,03:30:00,,,,,2.761,,,,,,,
400),05/01/2023,03:45:00,,,,,2.626,,,,,,,
401),05/01/2023,04:00:00,,,,,2.544,,,,,,,
402),05/01/2023,04:15:00,,,,,2.489,,,,,,,
403),05/01/2023,04:30:00,,,,,2.463,,,,,,,
404),05/01/2023,04:45:00,,,,,2.479,,,,,,,
405),05/01/2023,05:00:00,,,,,2.543,,,,,,,
406),05/01/2023,05:15:00,,,,,2.652,,,,,,,
407),05/01/2023,05:30:00,,,,,2.806,,,,,,,
408),05/01/2023,05:45:00,,,,,3.002,,,,,,,
409),05/01/2023,06:00:00,,,,,3.258,,,,,,,
410),05/01/2023,06:15:00,,,,,3.562,,,,,,,
411),05/01/2023,06:30:00,,,,,3.908,,,,,,,
412),05/01/2023,06:45:00,,,,,4.301,,,,,,,
413),05/01/2023,07:00:00,,,,,4.715,,,,,,,
414),05/01/2023,07:15:00,,,,,5.143,,,,,,,
415),05/01/2023,07:30:00,,,,,5.57,,,,,,,
416),05/01/2023,07:45:00,,,,,5.985,,,,,,,
417),05/01/2023,08:00:00,,,,,6.39,,,,,,,
418),05/01/2023,08:15:00,,,,,6.809,,,,,,,
419),05/01/2023,08:30:00,,,,,7.216,,,,,,,
420),05/01/2023,08:45:00,,,,,7.566,,,,,,,
421),05/01/2023,09:00:00,,,,,7.884,,,,,,,
422),05/01/2023,09:15:00,,,,,8.153,,,,,,,
423),05/01/2023,09:30:00,,,,,8.38,,,,,,,
424),05/01/2023,09:45:00,,,,,8.55,,,,,,,
425),05/01/2023,10:00:00,,,,,8.667,,,,,,,
426),05/01/2023,10:15:00,,,,,8.728,,,,,,,
427),05/01/2023,10:30:00,,,,,8.721,,,,,,,
428),05/01/2023,10:45:00,,,,,8.656,,,,,,,
429),05/01/2023,11:00:00,,,,,8.544,,,,,,,
430),05/01/2023,11:15:00,,,,,8.38,,,,,,,
431),05/01/2023,11:30:00,,,,,8.171,,,,,,,
432),05/01/2023,11:45:00,,,,,7.911,,,,,,,
433),05/01/2023,12:00:00,,,,,7.618,,,,,,,
434),05/01/2023,12:15:00,,,,,7.294,,,,,,,
435),05/01/2023,12:30:00,,,,,6.947,,,,,,,
436),05/01/2023,12:45:00,,,,,6.594,,,,,,,
437),05/01/2023,13:00:00,,,,,6.228,,,,,,,
438),05/01/2023,13:15:00,,,,,5.87,,,,,,,
439),05/01/2023,13:30:00,,,,,5.525,,,,,,,
440),05/01/2023,13:45:00,,,,,5.172,,,,,,,
441),05/01/2023,14:00:00,,,,,4.818,,,,,,,
442),05/01/2023,14:15:00,,,,,4.482,,,,,,,
443),05/01/2023,14:30:00,,,,,4.171,,,,,,,
444),05/01/2023,14:45:00,,,,,3.881,,,,,,,
445),05/01/2023,15:00:00,,,,,3.597,,,,,,,
446),05/01/2023,15:15:00,,,,,3.347,,,,,,,
447),05/01/2023,15:30:00,,,,,3.132,,,,,,,
448),05/01/2023,15:45:00,,,,,2.952,,,,,,,
449),05/01/2023,16:00:00,,,,,2.834,,,,,,,
450),05/01/2023,16:15:00,,,,,2.739,,,,,,,
451),05/01/2023,16:30:00,,,,,2.67,,,,,,,
